guid;full_name;last_name;first_name;patronymic;was_fixed
df10bdc6-4092-4cfc-ba64-10efe3d4953d;Медведев С. Ю.;Мждведев;Савватий;Юльевна;NO
82739cbd-708c-40d4-9a62-fa1a08bf59ef;Фролов Марк Андреевич;Фролов;Марщ;Андреевич;NO
29bc052c-f3ff-4c48-937d-e59a473df405;ИП Русакова П.З.;Русакова;Прокофий;Захарьевич;NO
eaf45993-42cf-43ec-8f24-c8ce1edddee4;Беспалов Григорий Жанович;Беспавов;Григорий;Жанович;NO
72de2548-d92f-44c7-9dd0-586fddef213b;Устинов Филарет Аркадьевна;Устинов;Филарет;Аркадьевна;NO
8e5b8596-764b-4637-8d9d-688b4313d3f1;ИП Лихачев Ю.А.;Лихачев;Ювеналий;Алексеевна;NO
f2199e00-c8bc-4b1f-bae4-01faf8381de1;Аксенов О. Ю.;Аксенов;Олимпиада;Юлианович;NO
caa7caeb-6f3f-4971-8917-78608bef6b54;Аксенов О. Ю.;Аксенов;Олимпиада;Юлианович;NO
40078d4f-016b-44f0-ba25-fe5d0174be8f;Алексеева Н. Р.;Алексеева;Натан;Рудольфовна;YES
b38b260e-e1af-4cb3-bea1-d5ff72f574e1;Аксенов Любовь Робертовна;Аксенов;Любовь;Робертовна;YES
1180ac3b-aac1-4bcb-835e-9309ecc5f717;ИП Кабанов М.Е.;Кабанов;Моисей;Евсеевич;NO
9c64ef0c-e4dc-4de4-9594-8b2e2d49b200;Андреева К. М.;Андреева;Капитон;Матвеезич;NO
6b18dee0-07fe-4ab5-ab31-4c4ce811c710;Наумов Леонтий Андреевич;Наумов;Леонтий;Андреевич;NO
0bd1c03c-f767-401a-a4a1-981042f31748;Горбунова Аверьян Денисович;Горбунова;Аверьян;Денисович;NO
9d3e3754-2d9e-43c6-82ac-4b71bc560d45;Горбунова Аверьян Денисович;Горбунова;Аверьян;Денисович;NO
70f7877e-fe90-4356-95e8-172ed7a0c24b;Баранова Всемил Ефстафьевич;Баранова;Всемил;Ефстафьевич;NO
5ebd4a49-2ec1-4be4-bdb0-48801d20ee6f;Ширяев Наина Ефстафьевич;Ширяев;Наина;Ефстафьевич;NO
ee9a845e-8451-4b63-80c6-3639c18e9af2;Васильев София Иларионович;Васильев;София;Иларионович;NO
13342ef3-4b5a-4cfb-b2ad-79b30e01d46f;Матвеев Сократ Денисович;Матвеев;Сократ;Денисович;NO
f90bd6e4-a043-45da-b7eb-7801c974ec4f;Шубин Юлий Тарасович;Шубин;Юлий;Тарасович;NO
f3e5d68b-a126-496a-ace6-33618a1a7ed6;Лихачев Евдоким Артёмович;Лихачев;Евдоким;Артёмович;NO
1999362e-a53f-4c4a-a6a9-1f7bb738201f;Лихачев Евдоким Артёмович;Лихачев;Евдоким;Артёмович;NO
5c19adb7-a767-49cf-ac9c-51e50a648667;Шубин Юлий Святославовна;Шубин;Юлий;Святославовна;NO
5e8730fc-bf0c-4a34-9cd3-6bf53f897a42;Стрелков Ф. Э.;Стрелков;Феврония;Эдгардович;NO
4d55cfcc-c0d4-47c4-8e80-fcb0af43acd4;Рогов Наина Никифоровна;Рогов;Наина;Никифоровна;YES
7e19f488-0f9b-401f-8f40-332d477cd198;ИП Кузьмин Д.А.;Кузьмин;Дмитрий;Александровна;NO
551e7910-a676-4562-996e-0ce45ef9b95e;Гусева Аристарх Ефимьевич;Гусева;Аристарх;Ефимьевич;NO
5658972c-d6ab-462f-b837-3a5f3bcd8146;Русакова Геннадий Вячеславовна;Русакова;Геннадий;Вячеславовна;NO
52c93b87-fd00-4a0f-ae8c-7d1bb608b38c;Попов Натан Тихонович;Попов;Натан;Тихонович;NO
b571eb74-02f0-4439-8030-bc604d9015b7;Пахомов Евфросиния Романовна;Пахомов;Евфросиния;Романовна;NO
409a1dd3-153f-433a-bc28-58067d174262;Волкова Ратибор Абрамович;Волкова;Ратибор;Абрамович;NO
2293eadd-d418-4cae-969b-a769e09854d7;Наумова Аверкий Тарасович;Наумова;Аверкий;Тарасович;NO
349da295-f7d9-4490-b2b7-0d2e8485ffe2;Мухин Леонтий Антонович;Мухин;Леонтий;Антонович;NO
b50edf43-9f08-463d-91e2-790b7ec10fbd;Белякова Людмила Леоновна;Белякова;Людмила;Леоновна;NO
2f5bdf4d-c113-401c-95be-b3636d1d91bf;Игнатова Творимир Артурович;Игнатова;Творимир;Артурович;NO
d70b6a24-4d83-4844-bad9-02f7c364fdab;ИП Миронов Б.А.;Миронов;Болеслав;Адамович;NO
e23a276b-f8fe-4dae-9fbf-47a6ddf4579b;Васильев Павел Васильевна;Васильев;Павел;Васильевна;NO
130139e2-6dc7-4f7e-84e7-8b3b6cf5e5f4;Хохлов Харлампий Фадеевич;Хохлов;Харлампий;Фадеевич;NO
8d4af401-5815-4f4f-bbbb-8924639d732a;Ковалева Эдуард Тарасович;Ковалева;Эдуард;Тарасович;NO
9adbf9e7-36ba-46e3-a724-42399b1f322a;Федосеев Ермолай Сергеевна;Федосеев;Ермолай;Сергеевна;NO
7dd1d028-f9d8-4bca-bf23-188b58efba89;ИП Горбачев Е.А.;Горбачев;Евграф;Августович;NO
b7db2b22-6cea-4648-8ce9-0c535525820b;Мухин Капитон Абрамович;Мухин;Капитон;Абрамович;NO
56914efc-ceff-44ce-bcd5-6a40ee6acfd1;Васильев Ольга Вячеславовна;Васильев;Ольга;Вячеславовна;NO
4122fea2-9466-4a8e-8955-ac3dec42238f;Дьячков Ефим Алексеевна;Дьячков;Ефим;Алексеевна;NO
163951f4-22da-42d8-9b6f-13075ae90877;Кузьмин Антип Константиновна;Кузьмин;Антип;Константиновна;NO
d84d350b-a9cf-421a-b964-eefd9d4d92d4;ИП Маслов Р.Ж.;Маслов;Регина;Жанович;NO
1910f0a8-9056-46bd-a63a-c37917f4c3c3;Давыдов Мечислав Васильевна;Давыдов;Мечислав;Васильевна;NO
dd63aaaa-f88e-435d-bbeb-78fd8fd1f246;Дементьева Роман Никифоровна;Дементьева;Роман;Никифоросна;NO
2c54d8e7-87d5-4c3f-8065-849ee170a7a8;ИП Пестова А.А.;Пестова;Аверьян;Абрамович;NO
c3720810-a916-4907-a69e-c11e651932c2;Дементьева Роман Анисимович;Дементьева;Роман;Анисимович;NO
4d70306e-fdc2-4eb4-951f-359b271c9c1b;Бобылева София Кирилловна;Бобылева;София;Кирилловна;NO
25be41e8-c8c9-4c74-8dfe-c247c463d95b;Богданова Панфил Игнатович;Богданова;Панфил;Игнатович;NO
acfbdbf5-34ed-41e8-b4be-eb9073eb0557;ИП Баранова Е.Н.;Баранова;Евдоким;Натановна;NO
3907a9ea-5bef-4141-9526-6ca618f0a1a0;Стрелков А. Ф.;Стрелков;Анжела;Фадеевич;NO
e4024f67-f2c1-4e4f-9224-27b0a83be4bb;Волкова Ратибор Филипповна;Волкова;Ратибор;Филипповна;NO
7a81a62c-ea55-4e80-805a-e97680081499;Гущина Натан Измаилович;Гущина;Натан;Измаилович;NO
43ec4b68-48b4-4136-b660-bcc8568a3e1c;ИП Лебедева Т.л.;Лебедева;Творимир;Вадимовна;NO
450ade68-1710-4277-bc3c-26b42fcf454b;ИП Давыдов Ф.С.;Давыдов;Фортунат;Святославовна;NO
6180ee35-07a5-47ee-ad33-6412407d6ce5;Медведев Ю. А.;Медведев;Юлиан;Арсеньевич;NO
0b2c3f8a-c48d-4af5-909b-84b2ff7f7cf2;Александров Ратибор Иларионович;Александркв;Ратибор;Иларионович;NO
577ec257-8567-4278-a688-866d2ca09aea;Комиссарова Татьяна Викторович;Комиссарова;Татьяна;Викторович;NO
0313264a-43ec-40d2-bc73-94a809f11600;Попов Татьяна Леоновна;Попов;Татьяна;Леоновна;NO
8a6b4b8c-7712-47fd-b871-c465ceff6501;Лебедева Ювеналий Аксёнович;Лебедева;Ювеналий;Аксёнович;NO
217f53b0-e786-468a-a481-6c6e3b95b9ac;Рогов Наина Ааронович;Рогов;Наина;Ааронович;NO
2c9ea2e0-a081-43b2-977a-27605b825dd5;Савина Никандр Августович;Савина;Никандр;Августович;NO
ea5f7b14-8b5a-4356-bb3a-5f017b196a3e;Ефремова С. Э.;Ефремова;Севастьян;Эдгардович;NO
8252042a-d4f2-428f-bc1a-7de0c6590179;Лихачев Фока Архипович;Лихачев;Фока;Архипович;NO
7c1afa95-e615-4ef1-a1f9-8e27624f2bda;Щербаков Регина Алексеевна;Щербаков;Регина;Алексеевна;NO
3c811573-6334-4442-9511-c4db0c9cee77;ИП Федосеев Х.А.;Федосеев;Хащлампий;Анатольевич;NO
d8e0b0f6-51b0-4929-b7c3-64a2c076a521;Цветков Павел Фадеевич;Цветков;Павел;Фадеевич;NO
eb7cdfa6-edc5-4aa9-ab5f-e3cf1565f17b;Лапин Мстислав Власович;Лапин;Мстислав;Власович;NO
7fbffe44-166d-431c-9c97-0be90eec23c0;Ковалева Леонтий Фёдорович;Ковалева;Леонтий;Фёдорович;NO
0f01e8b4-ac52-46b4-bc93-75d8c99fe5d4;Рогов Панфил Валентиновна;Рогов;Панфил;Валентиновна;NO
992dcba9-88a6-46f1-ba00-88677839c1ff;Рожкова Ю. Е.;Рожкова;Ювеналий;Ефстафьевич;NO
56919d48-8553-478a-8f5a-779c78fadca6;Петрова Лучезар Тимофеевна;Петрова;Лучезар;Тимофаевна;NO
aa15d363-febb-4408-a8ad-fdd7241fff83;Мухин Прокофий Трофимович;Мухин;Прокофий;Трофимович;NO
84740f75-0a2d-440c-8d99-a62a9b75507b;ИП Тимофеев М.И.;Тимофеев;Милен;Иосипович;NO
dc7d3021-87cf-48e7-8e89-108d49c38289;Наумова Ф. Р.;Наумова;Фортунат;Рубеновна;NO
302e24c2-3a4c-4c9e-809d-93f7685dbf59;Сазонова Евлампий Ааронович;Сазонойа;Евлампий;Ааронович;NO
14a7e0d6-987c-4745-8d24-21f291db10a7;Стрелков Кузьма Александровна;Стрелков;Кузьма;Александровна;NO
6bd3dc9e-d919-4ba9-921a-dd7d83f3d309;ИП Карпов Л.В.;Каппов;Лазарь;Вилорович;NO
f74ea129-4469-468d-9ac0-3bd69a544d27;Савин Регина Тимофеевна;Савин;Регина;Тимофеевна;NO
b0af08f2-d524-4905-8148-cb4e16624c94;Савин Регина Тимофеевна;Савин;Регина;Тимофеевна;NO
d26dac0e-8fd8-4310-b143-6f43c546721d;Лебедева Макар Анатольевич;Лебедева;Макар;Анатчльевич;NO
7ba87075-7a11-4de3-b285-0d68bc03be74;ИП Наумова А.А.;Наумова;Анисим;Андреевич;NO
8af4cd56-4a3a-438e-902a-95fd6d2c528f;ИП Федосеев Р.В.;Федосеев;Роман;Венедиктович;NO
b83d8b2e-778c-4ee3-b5ad-461176550b48;Кабанова Творимир Антипович;Кабанова;Творимир;Антипович;NO
3e5d6604-94c7-444c-a853-6424c8a69c7f;ИП Фролов Р.С.;Фролов;Родион;Сергеевна;NO
04bc5bcc-868d-42b8-b38b-cbbfd338f4ee;Никонова Л. В.;Никонова;Лазарь;Валериевна;NO
06781c0e-60a7-4eff-b9f3-e032ccf5d839;ИП Дьячков М.Н.;Дьячков;Моисей;Никифоровна;NO
e0bb4d21-eb71-4463-9286-91b210bee460;Потапов Евдоким Леонидовна;Потапов;Евдоким;Леонидовна;NO
8a912a5c-2e4c-4219-a54f-7c6f95f00c55;Громова Агап Аксёнович;Громова;Агап;Аксёнович;NO
c6afdfd9-b082-4167-9e71-4a7909262d15;Фролов Моисей Вадимовна;Фролов;Моисей;Вадимовна;NO
05a08747-0b77-4465-ad78-7cc0e5773e4e;Николаева Ерофей Елисеевич;Николаева;Ерофей;Елисеевич;NO
4f15dc3f-2664-434b-a448-597825b4dfc8;Игнатова Сократ Львовна;Игнатова;Сократ;Львовна;YES
aefce753-daaf-4a7f-aa6a-2f1ab9e25bca;Кабанов Людмила Павловна;Кабанов;Людмила;Павловна;YES
87dcd5df-944a-4be3-b118-eb219b39a45d;Игнатова Захар Эдгардович;Игнатова;Захар;Эдгардович;NO
b54c3f46-e71e-4408-a4cb-96cf22206a29;Калинин Т. Д.;Калинин;Таисия;Давидович;NO
1135af40-1224-47ce-ae2b-a84a1cfdf9dd;Гущина А. Е.;Гущина;Антип;Елисеевич;NO
391c8b22-874d-4dd5-8ed1-0760a3d447c6;Васильев Ерофей Кирилловна;Васильев;Ерофей;Кирилловна;NO
26999bc5-2677-48c8-9ecf-a9b950b217a7;Баранова М. Д.;Баранова;Марк;Демьянович;NO
c686c8b3-0f07-4917-aa02-7d2ff1e97338;Калинин Е. К.;Калгнин;Евлампий;Константиновна;NO
69aaea9b-7353-4e72-8313-082f396cd822;ИП Зимина Н.Т.;Зимина;Натан;Трофимович;NO
c66a951d-ac7e-49b7-85e7-d371a32d9d4e;Пестова Савватий Иосипович;Пестова;Савватий;Иосипович;NO
37aa3917-b9e2-45fc-93b1-d5242bcb4dd5;Пестова Савватий Иосипович;Пестова;Савватий;Иосипович;NO
4b50582b-ae92-4109-957e-e501a64fa0a0;Рогов Л. К.;Рогов;Лучезар;Кирилловна;NO
1304c95c-5ea7-4a87-9b9c-4d72769d9c51;Гусев Филарет Гаврилович;Гусев;Филарет;Гаврилович;NO
d9e559c8-1ac8-4170-9110-4c0476101910;Савина Капитон Измаилович;Савина;Капитон;Измаилович;NO
64786d86-33e5-4920-b698-c27fbe02f7d1;Федоров Григорий Никифоровна;Федоров;Григорий;Никифоровна;NO
e6a884d2-5163-4f17-8374-31c7393630d0;ИП Шаров М.В.;Шаров;Моисей;Власович;NO
f9e3f988-369e-487c-969f-df0f71eaad62;ИП Ефремова С.Р.;Ефремова;Самуид;Рубеновна;NO
e780d7a4-f49a-47cd-8b71-8f61ebdb4da4;Николаева Людмила Тимофеевна;Николаева;Людмила;Тимофеевна;NO
d0a7a849-8609-4f96-9744-35d5ad5eda1b;ИП Волкова ф.В.;Волкова;Болеслав;Викторович;NO
0c6cf4a2-8b6b-4890-8f82-f288d6ba2a63;Аксенов Юлия Рубеновна;Аксенов;Юлия;Рубеновна;NO
2dbe6469-e257-4d18-b854-433d23a6f6be;ИП Стрелков Е.Р.;Стрелков;Евфросиния;Робертовна;NO
7bcfd655-e3e9-4bda-92fe-3a5a15582471;Васильев Фома Евсеевич;Васильев;Фома;Евсеевич;NO
17141c9b-703f-4086-bced-c1191574476d;Попов Фока Анатольевич;Попов;Фока;Анатольевич;NO
964bc2c3-1dea-4e1a-a237-c1c8fb4d9084;ИП Жукова Е.Л.;Жукова;Евдоким;Леонидовна;NO
813c2079-a9bd-40e0-8c6f-b37dc2095b35;Медведев Антип Изотович;Медведев;Антип;Изотович;NO
a703b931-531c-4f6b-a3d3-32bc12ed546b;Попов Самуил Михайловна;Попов;Самуил;Михайловна;NO
255c9086-f229-4101-81cb-850345c18ca3;Комиссарова Гостомысл Георгиевич;Комиссарова;Гостомысл;Георгиевич;NO
6e2208d2-1ce6-49ae-8394-3197f61b5462;Жукова Ксения Васильевна;Жукова;Ксения;Васильевна;NO
47503d33-866f-4aea-aaed-223eee57da0a;Шубин Фока Эдгардович;Шубин;Фока;Эдгардович;NO
16b5c65a-e7f3-45cb-a483-3fa62fba2218;Савин Аверкий Трофимович;Савин;Аверкий;Трофимович;NO
ded330dd-5e4c-4019-a57f-19e78099a655;Горбачев Любовь Евсеевич;Горбачев;Любовь;Евсеевич;NO
b1ceb5a2-b66d-42b9-90aa-1cfb25c82d9c;ИП Шубин Ф.Г.;Шубин;Фока;Георгиевич;NO
9a84ee5c-0448-4b7f-a294-da48dea424a8;Фролов Е. Т.;Фролов;Евграф;Тайасович;NO
9e4c7867-c3b2-43ee-a311-0b4c087a10c7;Орлов Евфросиния Владимировна;Орлов;Евфросиния;Владимировна;NO
8d1ee3d1-c3f4-4b36-bb4b-dc0f7dbae43b;Александров Ю. А.;Александров;Ювеналий;Абрамович;NO
c05bc725-b3ee-4b12-9205-84f7d4b15c7a;Мясников Родион Филипповна;Мясников;Родион;Филипповна;NO
cc321f77-e3b3-4ee0-86a9-80802714cfdd;ИП Цветков М.Р.;Цветков;Марк;Романовна;NO
6069b7d6-c064-4e4d-a2b6-ff077ccf099e;Тихонова Л. А.;Тихонова;Леонтий;Абрамович;NO
79d29f2a-ba18-436b-bdba-dc6d69e9c365;Гусев Фома Антонович;Гусев;Фома;Антонович;NO
e09a4313-bf85-4326-b19a-8d5a382c9838;Петрова Мечислав Леонидовна;Петрова;Мечислав;Леонидовна;NO
2590a92f-9171-444c-808d-4814607d2bd5;Ковалева Владимир Матвеевич;Ковалева;Владимир;Матвеевич;NO
607d13f0-fe7a-4da5-8328-416356a932e1;Никонова П. А.;Никонова;Прокофий;Арсезьевич;NO
448fa6f2-9ab4-43dd-bbdd-56595c2e7926;Кулакова Евдоким Якубович;Кулакова;Евдоким;Якубович;NO
b5cf2a27-1754-4c95-9f7c-7c7c07521bf0;Лихачева Лучезар Аксёнович;Лихачева;Лучезар;Аксёнович;YES
076ad21d-4c68-45a1-9bcf-1604db0d2f66;Корнилова Ермолай Викторович;Корнилова;Ермолай;Викторович;NO
3b892100-2ec8-46f7-a836-b10939164e6b;Петрова Никандр Артёмович;Петрова;Никандр;Артёмович;NO
5e913b28-dcf6-47c7-964d-3a74bbce2075;Петрова Никандр Артёмович;Петрова;Никандр;Артёмович;NO
ae57455f-fde9-4f29-85aa-db68c78964a1;Гущина Мечислав Филипповна;Гущина;Мечислав;Филипповна;NO
798a8e29-9858-4c6c-a8e2-291761274552;ИП Васильев О.Ф.;Васильев;Ольга;Феликсович;NO
60e6327a-7f13-440a-aa88-ccb174900260;Шашков Рюрик Алексеевна;Шашков;Рюрик;Алексеевна;NO
e8dde3e9-9fc7-4c31-ba82-5386b1d339da;Наумов Ф. И.;Наумов;Фока;Ильинична;NO
42fac310-7fb6-4cb8-a812-2d96e308a8ea;Мухин Р. А.;Мухин;Родион;Артурович;NO
d13c6afa-a4a6-4414-82f2-aee7af380352;ИП Григорьев С.Н.;Григорьев;Самуил;Натановна;NO
8682e2a4-f81c-4fdd-af59-2e3dbe729abc;Галкин София Владимировна;Галкин;София;Владимировна;NO
d069fd40-75ed-4196-816b-001c994d3834;Федоров Радислав Трофимович;Федоров;Радислав;Трофимович;NO
a1a899af-e1d3-45d9-b8e2-a2908e36f0c0;Федоров Кузьма Адрианович;Федоров;Кузьма;Адрианович;NO
a56b7b26-ce8c-4870-aa45-787fd835b91f;Дьячков Панфил Якубович;Дьячков;Панфил;Якубович;NO
243c78c4-f9fb-4fc5-948e-4d5333886789;ИП Громова Л.А.;Гроиова;Людмила;Артурович;NO
542b2437-f3f4-4454-9ea7-b654b7a3744f;Лихачев Ратибор Захарьевич;Лихааев;Ратибор;Захарьевич;NO
075dc912-664b-481e-b0bd-20e4fcc6120d;Сазонова Творимир Эдгардович;Сазонова;Творимир;Эдгардович;NO
013e4c9e-a9be-46d6-b54f-3d1686cc2d6f;Орлов К. Р.;Орлов;Кир;Рудольфовна;NO
f27334ca-1cde-4163-9d71-1cfdd66f820e;ИП Мухин Д.А.;Мухин;Дмитрий;Антонович;NO
0d66309f-04af-4141-a325-6dcb28cbbe07;ИП Фролов Л.Х.;Фролов;Лучезар;Харлампович;NO
58849e59-c267-4f20-a6f9-6b9086e2428f;Волкова Антип Фёдорович;Волкова;Антип;Фёдорович;NO
9f0b68dd-11a8-4da4-97d4-a869fb8c6f00;Медведев Юлия Вячеславовна;Медведев;Юлия;Вячеславовна;NO
900cad05-b021-46bc-aef1-b4729f86636c;Доронин Феврония Ааронович;Доронин;Феврония;Ааронович;NO
d564905d-a93a-4861-bcf5-565311fa6022;ИП Мухин А.А.;Мохин;Авдей;Архипович;NO
4be09695-7330-4960-b0ee-555c1624533e;Щербаков Моисей Феликсович;Щербаков;Моисей;Феликсович;NO
d703d03c-a2eb-472c-9ff1-573f4596fcda;Савин Вышеслав Тимофеевна;Савин;Вышеслав;Тимофеевна;NO
9bd604d4-5fa5-40f3-acec-402c0a74a867;Петрова Анисим Сергеевна;Петрова;Анисим;Сергеевна;NO
b956e2a1-9e79-41e9-9489-cb220ca1d625;Пестова Ермолай Адрианович;Пестова;Ермолай;Адрианович;NO
66edf34f-ada6-4180-ba0e-d7cc7f676b28;Фролов Серафим Васильевна;Фролов;Серафим;Васильхвна;NO
814ddc07-274f-4b35-9c41-eb167a427fd8;Карпов Эдуард Давидович;Карпов;Эдуард;Давидович;NO
67d95edc-ab92-4883-9dd6-737ef8b23990;Ефремова Р. Я.;Ефремова;Рюрик;Яковлевич;NO
7676a9d2-69ff-4b3b-8362-193f7bc2b9a3;Николаева Е. Т.;фиколаева;Евлампий;Тихонович;NO
828b6705-d15f-44a0-a041-3ea93c63323c;ИП Фролов А.Ф.;Фролов;Антип;Фадеевич;YES
92331e1a-5723-46d1-b09a-66254caf6779;Лихачева Азарий Ефстафьевич;Лихачева;Азарий;Ефстафьевич;NO
10ffb49a-bf09-4075-ad23-18e7eac454ed;ИП Андреева Ю.В.;Андреева;Юлиан;Валентиновна;NO
5f0af216-5a1f-4a64-8fb4-2de1da09344b;Агафонов Л. М.;Агафонов;Леонтий;Матвеевич;NO
63d699a3-9cd4-4dfb-a237-0773fa451081;Зимина Владимир Гаврилович;жимина;Владимир;Гаврилович;NO
e1d98e01-9262-4354-bedc-58f0e560efdd;Кондратьева Аверьян Аксёнович;Кондратьева;Аверьян;гксёнович;NO
76f92bec-eaf9-4147-8054-6798daea9bd4;Кузьмин Г. В.;Кузьмин;Григорий;Вадимовна;NO
d4f693ac-bf50-4290-b754-9d583f5886eb;ИП Лихачева А.И.;Лихачева;Азарий;Измаилович;NO
32bf8f6f-5790-4b2d-bbd8-a6c64b81bad3;Белякова С. Д.;Белякова;Софрдн;Демьянович;NO
8df3c50f-f8d9-4f98-947c-8b0a52fc104b;ИП Лихачева А.Т.;Лихачева;Аверкий;Тарасович;NO
