guid;full_name;last_name;first_name;patronymic
df10bdc6-4092-4cfc-ba64-10efe3d4953d;Медведев С. Ю.;Мждведев;Савватий;Юльевна
82739cbd-708c-40d4-9a62-fa1a08bf59ef;Фролов Марк Андреевич;Фролов;Марщ;Андреевич
29bc052c-f3ff-4c48-937d-e59a473df405;ИП Русакова П.З.;Русакова;Прокофий;Захарьевич
eaf45993-42cf-43ec-8f24-c8ce1edddee4;Беспалов Григорий Жанович;Беспавов;Григорий;Жанович
72de2548-d92f-44c7-9dd0-586fddef213b;Устинов Филарет Аркадьевна;Устинов;Филарет;Аркадьевна
8e5b8596-764b-4637-8d9d-688b4313d3f1;ИП Лихачев Ю.А.;Лихачев;Ювеналий;Алексеевна
f2199e00-c8bc-4b1f-bae4-01faf8381de1;Аксенов О. Ю.;Аксенов;Олимпиада;Юлианович
caa7caeb-6f3f-4971-8917-78608bef6b54;Аксенов О. Ю.;Аксенов;Олимпиада;Юлианович
40078d4f-016b-44f0-ba25-fe5d0174be8f;Алщксеева Н. Р.;Алексеева;Натан;Рудольфовна
b38b260e-e1af-4cb3-bea1-d5ff72f574e1;Аксенов Любовь Роббртовна;Аксенов;Любовь;Робертовна
1180ac3b-aac1-4bcb-835e-9309ecc5f717;ИП Кабанов М.Е.;Кабанов;Моисей;Евсеевич
9c64ef0c-e4dc-4de4-9594-8b2e2d49b200;Андреева К. М.;Андреева;Капитон;Матвеезич
6b18dee0-07fe-4ab5-ab31-4c4ce811c710;Наумов Леонтий Андреевич;Наумов;Леонтий;Андреевич
0bd1c03c-f767-401a-a4a1-981042f31748;Горбунова Аверьян Денисович;Горбунова;Аверьян;Денисович
9d3e3754-2d9e-43c6-82ac-4b71bc560d45;Горбунова Аверьян Денисович;Горбунова;Аверьян;Денисович
70f7877e-fe90-4356-95e8-172ed7a0c24b;Баранова Всемил Ефстафьевич;Баранова;Всемил;Ефстафьевич
5ebd4a49-2ec1-4be4-bdb0-48801d20ee6f;Ширяев Наина Ефстафьевич;Ширяев;Наина;Ефстафьевич
ee9a845e-8451-4b63-80c6-3639c18e9af2;Васильев София Иларионович;Васильев;София;Иларионович
13342ef3-4b5a-4cfb-b2ad-79b30e01d46f;Матвеев Сократ Денисович;Матвеев;Сократ;Денисович
f90bd6e4-a043-45da-b7eb-7801c974ec4f;Шубин Юлий Тарасович;Шубин;Юлий;Тарасович
